"weihua","song","8670855400","4022"	,"7"
"weiqiang","wang","57037239300","31093"	,"1"
"wen","li","36548211400","5120"	,"1"
"wen","li","55726993000","5120"	,"1"
"wenjing","lou","7006030576","37182"	,"8"
"wensheng","zhang","55706369300","34247"	,"2"
"wenxin","liu","35307554000","40765"	,"1"
"whitney","behr","36501273900","18599"	,"4"
"william","burns","7201423923","24391"	,"2"
"william","hughes","7202094271","27005"	,"2"
"william","irvine","7103105241","16114"	,"1"
"william","johnson","7404848706","10060"	,"2"
"william","johnson","7404848706","14680"	,"12"
"william","kaiser","7402267818","20387"	,"1"
"william","martin","56350167700","16064"	,"1"
"william","mcclelland","7004193979","4655"	,"6"
"william","menke","7006401135","10745"	,"7"
"william","morgan","56250159200","27141"	,"1"
"william","murphy","7401510455","39298"	,"1"
"william","peterjohn","6602107502","3384"	,"5"
"william","regli","7005064203","26897"	,"6"
"william","schnabel","7005663292","20448"	,"5"
"william","stumph","7003778195","11981"	,"1"
"xi","chen","7401754581","33208"	,"1"
"xi","chen","8663698000","33208"	,"1"
"xi","zhang","16240463900","31784"	,"1"
"xi","zhang","55784701600","31784"	,"1"
"xi","zhang","55794431100","31784"	,"1"
"xi","zhang","56068376200","31784"	,"4"
"xia","wang","36079802100","25926"	,"5"
"xia","zhou","7410091558","34086"	,"1"
"xian","huang","7501573470","42333"	,"1"
"xiang","zhang","55715254700","15069"	,"1"
"xiang","zhang","55715254700","175"	,"1"
"xiang","zhang","55849128200","12537"	,"1"
"xiang","zhang","7404159062","8363"	,"2"
"xiao","hu","55655457700","25982"	,"1"
"xiao","hu","56200661700","25982"	,"1"
"xiao","hu","56247313800","25982"	,"1"
"xiao","hu","56525577500","25982"	,"1"
"xiao","qin","7202154863","536"	,"1"
"xiaofeng","mao","55812970100","12648"	,"2"
"xiaofeng","wang","56998852200","24854"	,"1"
"xiaohua","xu","55706213100","42076"	,"1"
"xiaoqin","li","56923414600","25789"	,"1"
"xiaoqing","pan","8305633200","12139"	,"1"
"xiaorui","wang","55682639100","25126"	,"1"
"xin","chen","24781668900","30143"	,"1"
"xin","fu","7404433708","27918"	,"2"
"xin","li","35318014700","24119"	,"3"
"xin","li","55718305300","10856"	,"1"
"xin","li","55719348700","33862"	,"1"
"xin","li","55742032900","33862"	,"1"
"xin","li","56085809200","21830"	,"1"
"xin","liu","12240469400","39392"	,"2"
"xin","liu","55717425300","10765"	,"1"
"xin","sun","8937256000","39792"	,"1"
"xin","wang","35786452800","35379"	,"2"
"xin","wang","55969117500","35379"	,"1"
"xin","wu","55533800700","30902"	,"1"
"xin","zhang","55954382400","22618"	,"1"
"xingcheng","xiao","55507536000","1208"	,"10"
"xinming","ou","25651998800","23364"	,"7"
"xinzhong","chen","9037610400","3908"	,"1"
"xue","liu","8942271400","7883"	,"2"
"xun","gong","35229236900","37194"	,"1"
"yaling","yang","39862506100","16003"	,"1"
"yan","cao","7404524707","41670"	,"3"
"yan","huang","56908011100","40393"	,"1"
"yan","huang","7501576559","38029"	,"6"
"yan","li","23486118800","18321"	,"2"
"yan","li","8373790800","18321"	,"2"
"yan","li","8505845800","18321"	,"1"
"yan","li","8934248500","18321"	,"1"
"yan","liu","35215324800","18964"	,"1"
"yan","liu","55995709500","8058"	,"1"
"yan","sun","7406432245","19802"	,"1"
"yan","wang","55869340600","40220"	,"1"
"yan","wang","7601486752","26785"	,"2"
"yan","wang","7601516613","40220"	,"2"
"yan","wang","8056292400","26785"	,"1"
"yanbei","chen","56122542100","41325"	,"3"
"yanchao","zhang","56023501000","24107"	,"1"
"yang","cao","7404524308","26765"	,"2"
"yang","liu","25958249300","10323"	,"9"
"yang","liu","55880179500","15639"	,"12"
"yanhong","liu","35215324800","24365"	,"1"
"yanhong","liu","35724339300","2323"	,"1"
"yanqing","zhang","55188548800","17811"	,"1"
"yanyuan","ma","8908626500","40288"	,"5"
"ye","yang","7409385618","39638"	,"4"
"ye","zhang","7601313640","9595"	,"1"
"yehua","li","13611714300","23497"	,"1"
"yehuda","ben-zion","7003880021","23355"	,"7"
"yemane","asmerom","7003456370","31173"	,"10"
"yi","chen","35179060900","24328"	,"1"
"yi","chen","36071613100","24328"	,"2"
"yi","deng","55459373500","393"	,"1"
"yi","ding","35177466700","11588"	,"1"
"yi","ding","36997788500","11588"	,"4"
"yi","ding","41361111200","11588"	,"1"
"yi","gu","7201564793","13702"	,"2"
"yi","guo","7406311221","23721"	,"2"
"yi","he","11940497400","17898"	,"6"
"yi","he","13409106300","17898"	,"1"
"yi","he","35789333400","17898"	,"1"
"yi","lu","14054322300","11066"	,"1"
"yi","lu","55071873600","11066"	,"1"
"yi","zhang","12141051100","1873"	,"1"
"yi","zhang","35188429500","6462"	,"2"
"yi","zuo","7101712702","35043"	,"2"
"yifei","li","55120089800","34957"	,"1"
"ying","li","31367443600","19044"	,"1"
"ying","wei","13104920200","14026"	,"4"
"ying","zhang","55739984900","18840"	,"1"
"ying","zhou","7404742434","2580"	,"1"
"ying","zhu","37040279500","18001"	,"2"
"yingying","chen","54683556600","39041"	,"4"
"yiyuan","she","35085680000","28146"	,"4"
"yolanda","gil","7004618158","28807"	,"2"
"yong","chen","35309684800","26868"	,"1"
"yong","chen","35728374500","20334"	,"3"
"yong","chen","35728374500","32236"	,"3"
"yong","chen","7601429679","25998"	,"2"
"yong","chen","7601445077","12547"	,"1"
"yong","chen","8232781700","25357"	,"1"
"yong","chen","8528620100","25357"	,"2"
"yong","chen","8720685700","12398"	,"4"
"yong","chen","8720685700","25576"	,"4"
"yong","chen","8720685700","29943"	,"2"
"yong","ding","14025256200","41235"	,"1"
"yong","liu","35198276000","1846"	,"1"
"yong","liu","36152845300","3301"	,"1"
"yong","wang","11440987400","25888"	,"2"
"yong","wang","49864714500","25888"	,"4"
"yong","wang","55631218100","25888"	,"1"
"yong","wang","55733817300","25888"	,"1"
"yong","wang","9271412500","25205"	,"8"
"yong","xu","24725997900","16145"	,"1"
"yong","xu","7406451307","36029"	,"2"
"yong","xu","7406451845","30200"	,"1"
"yong","zhu","22936535500","32156"	,"1"
"yong","zhu","55723831900","25973"	,"1"
"yongdae","kim","36063719500","1293"	,"1"
"yonggang","huang","7501569901","30198"	,"2"
"yoshi","okamoto","55738017300","38034"	,"2"
"young","cho","8941826200","29206"	,"1"
"young","lee","36012687800","36564"	,"1"
"yu","chen","55721096500","37180"	,"1"
"yu","chen","7601438779","37180"	,"2"
"yu","chen","8232781700","37180"	,"2"
"yu","ding","35746053600","20970"	,"1"
"yu","sun","7201871410","39666"	,"1"
"yu","wang","35204276100","23935"	,"2"
"yu","wang","55734138200","23935"	,"3"
"yu","wang","7501631599","23935"	,"1"
"yu","wang","7601490850","26765"	,"1"
"yu","zhou","23062556900","29699"	,"1"
"yu","zhu","36099673700","25661"	,"1"
"yu","zhu","8303047100","41290"	,"1"
"yuan","gao","55464021100","25873"	,"1"
"yuan","gao","55731313000","26515"	,"1"
"yue","wu","55531536300","26994"	,"1"
"yun","huang","24385713700","40435"	,"1"
"yuris","dzenis","7004137723","22729"	,"2"
"yury","gogotsi","7007093973","41785"	,"1"
"z","wang","55719820500","13350"	,"1"
"z","wang","55719867800","13350"	,"2"
"z","wang","7410050908","13350"	,"1"
"z","wang","9241732200","13350"	,"1"
"zhangjun","fei","56471328500","1143"	,"2"
"zhaowei","liu","16429960100","8369"	,"2"
"zhe","zhang","55784701600","16501"	,"2"
"zhen","chen","55716191900","39536"	,"1"
"zhen","he","53363609300","29231"	,"1"
"zhen","he","7409490797","29231"	,"6"
"zhendong","su","7402248744","32746"	,"3"
"zhenhua","liu","55557324800","40453"	,"3"
"zhi","sun","35093283500","37563"	,"2"
"zhi","wang","55000510700","38739"	,"3"
"zhihua","wang","55500046600","35950"	,"2"
"zhijie","shi","7403734093","36522"	,"1"
"zhiwen","liu","57192441127","12329"	,"2"
"zhuo","lu","8671190200","40394"	,"1"
"zoe","courville","16834426900","4346"	,"2"
"aaron","geller","24281152500","29483"	,"2"
"aaron","mitchell","7402039370","33930"	,"3"
"aaron","roth","8247437600","6410"	,"4"
"aaron","stebner","24336359000","39010"	,"1"
"abdul","mohammed","7102944710","1194"	,"2"
"abhijit","chandra","7201668577","6285"	,"1"
"adalgisa","caccone","7003512116","26860"	,"2"
"adam","chlipala","10041238300","14972"	,"3"
"adam","davis","8698438700","8311"	,"1"
"adam","pritchard","55906555000","40961"	,"2"
"adam","skibbe","23019775500","3441"	,"10"
"adrian","lee","26642909000","14345"	,"1"
"akito","kawahara","12805415000","28600"	,"2"
"akram","hossain","7102502747","2772"	,"2"
"akram","hossain","7402472450","2772"	,"1"
"alan","christensen","7202023067","32598"	,"1"
"alan","dow","7006180830","40900"	,"1"
"alan","george","35579552500","12347"	,"2"
"alan","knapp","7102421547","9776"	,"12"
"alan","reid","7202690723","10829"	,"5"
"alan","townsend","7102086352","3762"	,"9"
"alberto","bolatto","6701759582","32458"	,"4"
"alessandro","vespignani","7004546582","8795"	,"2"
"alex","brown","57069424800","30943"	,"2"
"alex","brown","57069424800","6155"	,"2"
"alex","liu","8339909200","27383"	,"3"
"alexander","kiselev","7202779840","42209"	,"2"
"alexander","revzin","7003422366","16576"	,"3"
"alexander","ruege","25929531100","19270"	,"1"
"alexei","poltoratski","6603364453","30003"	,"4"
"alexei","sokolov","35556204500","31833"	,"5"
"alexey","glazyrin","26643976900","30324"	,"1"
"alice","barkan","7101807994","26162"	,"3"
"alison","anders","23007834100","25152"	,"1"
"alistair","harding","7202709483","9269"	,"36"
"allan","devol","56564288400","3867"	,"3"
"allen","goldman","7401725370","20367"	,"4"
"allen","mcnamara","56582809300","4549"	,"10"
"allison","henrich","36018342200","39916"	,"2"
"allison","shertzer","55570310200","39807"	,"1"
"alonso","aguirre","7102847405","2085"	,"3"
"alonso","aguirre","7102847405","23419"	,"3"
"amber","wutich","23981822300","39678"	,"2"
"amir","avestimehr","16202171800","31793"	,"4"
"amy","apon","6603631153","15913"	,"4"
"amy","hackenberg","16244688300","18725"	,"2"
"an","do","6701358567","37750"	,"1"
"anand","sivasubramaniam","7004044420","14438"	,"3"
"anand","sivasubramaniam","7004044420","21302"	,"3"
"andre","levchenko","57109961600","32165"	,"1"
"andrea","van,duzor","43762256400","399"	,"1"
"andreas","schmittner","6602828250","19941"	,"2"
"andrei","gabrielov","6701735205","12441"	,"1"
"andrei","kutateladze","6701823872","30105"	,"1"
"andrew","baker","35555614200","20361"	,"4"
"andrew","barclay","7102034153","25493"	,"2"
"andrew","bass","7101904989","31390"	,"5"
"andrew","carnie","8948049300","40653"	,"2"
"andrew","connolly","55252898300","41838"	,"1"
"andrew","gettelman","25031430500","2546"	,"5"
"andrew","ko","7007018374","23287"	,"11"
"andrew","shtulman","23989601000","1804"	,"2"
"andrew","sih","56821525600","39335"	,"1"
"andrew","sykes","7102626442","16027"	,"2"
"angela","bryan","7102041102","11635"	,"1"
"angela","wilson","57192111422","19845"	,"2"
"angela","wilson","7404870386","14590"	,"2"
"angus","kingon","35500089400","40659"	,"1"
"ann","austin","7101987698","16307"	,"4"
"ann","gates","7006458577","26585"	,"3"
"ann","russell","7402736050","20025"	,"6"
"anna","fisher","7403451526","38553"	,"1"
"anna","gilbert","7201514859","993"	,"5"
"anne","short","16204348800","14289"	,"1"
"anne","thompson","35566233300","19932"	,"2"
"anne","thompson","56327678400","19932"	,"2"
"anselmo","canfora","55157140200","4203"	,"1"
"anselmo","lastra","35392332000","34357"	,"2"
"anthony","aufdenkampe","6602205725","26270"	,"20"
"anthony","chen","7403391725","31910"	,"1"
"anthony","dinsmore","16023939300","36296"	,"1"
"antje","heese","6505770188","10646"	,"2"
"antonietta","quigg","6602346370","28962"	,"3"
"antony","berthelote","56136345600","40008"	,"1"
"anupam","joshi","7402452908","15969"	,"3"
"anurag","agrawal","7202770069","8173"	,"18"
"aristide","dogariu","7007186113","12171"	,"1"
"arkadi","nemirovski","6701369245","20099"	,"1"
"arn","womble","26642168900","5525"	,"1"
"arthur","hunt","56440861700","28314"	,"1"
"arun","somani","35468421700","1040"	,"3"
"arunava","gupta","55628526939","6506"	,"1"
"arunava","gupta","55628527226","41525"	,"1"
"ashok","kumar","55574185580","1208"	,"1"
"ashraf","bastawros","7007092540","6285"	,"3"
"atif","memon","35599876500","13373"	,"4"
"axel","timmermann","56063544700","26475"	,"1"
"ayman","hawari","8602433000","2822"	,"5"
"bahar","biller","7006404176","35955"	,"1"
"barbara","bond","7006867827","344"	,"6"
"barbara","bond","7006867827","5723"	,"1"
"barbara","harthorn","8735672500","1418"	,"7"
"barbara","reys","6507029472","4080"	,"2"
"barbara","schneider","51764710500","23467"	,"2"
"barbara","tversky","35618434300","910"	,"4"
"barry","brinkman","15077980100","11507"	,"3"
"barry","smith","23981407900","855"	,"1"
"bart","geerts","6701590980","19716"	,"20"
"barth","smets","7006949747","6037"	,"3"
"beena","sukumaran","55924236700","35005"	,"1"
"belay","demoz","6701648855","41139"	,"4"
"belinda","sturm","25226254000","36319"	,"1"
"benjamin","mazin","23103322600","32330"	,"1"
"benjamin","williams","7404502890","41523"	,"3"
"bernard","shiffman","6602167938","12735"	,"2"
"bernd","hamann","7005775949","9604"	,"6"
"bert","holmes","16535734700","16106"	,"1"
"beth","cunningham","55650166200","33742"	,"2"
"bevil","conway","7202650832","28350"	,"1"
"bhuvan","urgaonkar","14020908300","1826"	,"5"
"bin","jiang","36045964200","5343"	,"1"
"bin","li","55707684600","3296"	,"1"
"bin","li","7409083478","3296"	,"1"
"bin","wang","8945567500","17995"	,"4"
"bin","yu","35724829600","1426"	,"1"
"bin","zhang","7601310666","20087"	,"2"
"bing","li","8655899800","31582"	,"2"
"bing","yang","55712707100","17064"	,"3"
"blaire","van,valkenburgh","7004363408","8280"	,"3"
"bo","li","35300205200","33514"	,"2"
"bo","li","36063061000","23897"	,"1"
"bo","liu","36062332000","32478"	,"2"
"bo","sun","8390857100","30342"	,"1"
"bo","yuan","7203056397","35596"	,"1"
"boris","lau","8275060500","25683"	,"3"
"brad","kimbrough","9839256400","37935"	,"1"
"brad","seibel","7004020176","39723"	,"11"
"bradford","mott","7003963061","31993"	,"5"
"bradford","mott","7003963061","9835"	,"6"
"bradley","hacker","7006140139","35020"	,"3"
"bradley","schaefer","56490035300","7275"	,"2"
"brandon","price","10839681500","35189"	,"1"
"brenda","hall","56156839000","10140"	,"4"
"brenda","hall","7401720555","4355"	,"4"
"brenda","philips","56240098000","25110"	,"2"
"brendan","bohannan","7004020596","14144"	,"5"
"brent","haddad","7006785006","24688"	,"2"
"brent","mishler","6601958116","39594"	,"3"
"brent","shanks","6603706496","282"	,"2"
"brett","tyler","7006546677","38046"	,"2"
"brian","anderson","35098376300","25829"	,"2"
"brian","bauer","8042574600","36521"	,"1"
"brian","beatty","9133914800","27659"	,"1"
"brian","beaudoin","57147290100","32864"	,"1"
"brian","berry","7102227384","16054"	,"1"
"brian","chaplin","13402947300","38748"	,"3"
"brian","craig","7103084924","39530"	,"4"
"brian","drayton","6602392491","410"	,"1"
"brian","gill","56071625200","40990"	,"2"
"brian","jicha","6508194965","10397"	,"11"
"brian","johnson","7404748988","39633"	,"1"
"brian","korgel","57006364300","30818"	,"1"
"brian","maple","35418504500","13633"	,"8"
"brian","martin","55482426300","3577"	,"3"
"brian","o'neill","35234249500","17638"	,"3"
"brian","richmond","7006651844","25929"	,"2"
"brinton","milward","6602601059","27211"	,"1"
"britt","raubenheimer","7004405159","35216"	,"5"
"bruce","allen","7401698195","7671"	,"2"
"bruce","carlson","7201822000","19139"	,"2"
"bruce","desmarais","36801263000","29163"	,"2"
"bruce","draine","35227203000","31813"	,"3"
"bryan","chin","56940108500","12021"	,"1"
"buford","price","55665123200","10214"	,"1"
"buford","price","55665123200","14108"	,"9"
"burcu","akinci","6603543201","24756"	,"3"
"byunghyun","jang","23100015000","25813"	,"1"
"callie","babbitt","6602129130","36278"	,"2"
"camille","kamga","23469653300","21288"	,"2"
"carl","landwehr","6701307737","38609"	,"2"
"carlos","ferregut","6603850123","5513"	,"2"
"carlos","mechoso","7004544454","17867"	,"5"
"carol","dieckmann","7006845577","12005"	,"2"
"carol","handwerker","7004036370","10384"	,"1"
"carol","johnston","26322603300","26377"	,"5"
"caroline","taylor","55700952000","26366"	,"1"
"caroline","ummenhofer","14020798200","28785"	,"4"
"carolyn","brinkworth","6701590844","41962"	,"1"
"carolyn","parker","8591652900","17044"	,"1"
"catherine","rushworth","57191597866","22809"	,"3"
"catherine","stamoulis","6507795848","38507"	,"2"
"cathryn","manduca","55397812700","4454"	,"10"
"changbin","chen","36730767200","3716"	,"6"
"chansu","yu","57192817002","26004"	,"2"
"chao","wang","55141316100","31209"	,"3"
"charles","anderson","56896199900","5939"	,"1"
"charles","clancy","7006894812","21402"	,"1"
"charles","creusere","55765173200","5950"	,"1"
"charles","delwiche","7003339797","4153"	,"2"
"charles","doering","7006815587","13308"	,"2"
"charles","henderson","8934184500","19303"	,"8"
"charles","hoyle","7103312457","22046"	,"4"
"charles","kalish","6604067874","24398"	,"4"
"charles","liu","36604830000","9537"	,"1"
"charles","marshall","7201903372","13057"	,"1"
"charles","mitter","7003618143","1629"	,"3"
"charles","price","7403078780","12244"	,"3"
"charles","roeder","7006645515","13879"	,"6"
"charles","whiteman","7005813095","29877"	,"6"
"chelsea","carey","56688240700","22836"	,"2"
"chelsea","specht","7006195900","19522"	,"2"
"chen","liu","8723203100","25166"	,"2"
"cheng","sun","55700855100","16400"	,"2"
"cheng","zhang","57075178200","34851"	,"1"
"chenyang","lu","7404805416","24111"	,"10"
"chi","shen","7403601568","25221"	,"2"
"chitra","javdekar","6506837210","11643"	,"5"
"chong","cheng","55505228000","13657"	,"1"
"chris","forest","56748757800","33476"	,"2"
"christel","hohenegger","19933281300","32633"	,"1"
"christiaan","paredis","35577162900","4201"	,"1"
"christine","percheski","24171613400","39774"	,"1"
"christopher","anderson","7404303272","24324"	,"10"
"christopher","bull","8974347800","34870"	,"1"
"christopher","clark","35596303400","19435"	,"1"
"christopher","craft","55809829900","30362"	,"5"
"christopher","hiemstra","6603462157","3625"	,"3"
"christopher","kiely","7007159373","25204"	,"3"
"christopher","lobb","35592164200","32039"	,"6"
"christopher","neill","56033885000","2513"	,"14"
"christopher","swan","6507308776","3727"	,"1"
"christopher","vinyard","6602603193","5694"	,"6"
"christopher","white","14022047800","36566"	,"2"
"christopher","williams","56108938100","36067"	,"1"
"christopher","williams","7406213681","18413"	,"1"
"christy","landes","7003432398","36317"	,"1"
"chun","liu","35227652100","14859"	,"1"
"chunmei","liu","55680769000","10015"	,"1"
"cindy","waters","8454474500","15646"	,"12"
"ciprian","demeter","14007991900","40691"	,"5"
"clara","cahill","55798831500","26180"	,"1"
"clara","deser","7003843648","13050"	,"6"
"clarence","gravlee","9735741500","16306"	,"3"
"claudia","cenedese","6602133752","9201"	,"13"
"clifford","shaffer","7005154739","37227"	,"7"
"clinton","dawson","47961038600","26265"	,"1"
"colin","averill","37116471700","30406"	,"1"
"colin","brown","55574218109","32852"	,"1"
"colin","jackson","56780899500","40937"	,"1"
"colin","wilson","55736609400","4835"	,"4"
"colin","wraight","7004765904","17636"	,"6"
"colleen","eddy","35076929400","4061"	,"1"
"colleen","ganley","35182938600","26072"	,"2"
"cong","liu","26323212100","34844"	,"1"
"corina","sandu","8352630800","12340"	,"2"
"craig","layman","6601999841","42418"	,"2"
"craig","moyer","7006276356","19947"	,"8"
"craig","rasmussen","36669226400","25097"	,"13"
"craig","vierra","6602322840","6848"	,"4"
"cran","lucas","7201860430","26049"	,"1"
"cynthia","atman","7004465260","20401"	,"10"
"cynthia","d'angelo","35202968800","35437"	,"15"
"cynthia","finelli","8515700800","1477"	,"7"
"cynthia","jones","7408261371","4574"	,"3"
"dakai","zhu","8083631400","1759"	,"3"
"dale","lecaptain","12142694300","24487"	,"1"
"dale","winebrenner","7004127464","15938"	,"3"
"dallas","trinkle","6602846699","32258"	,"3"
"damon","lisch","6603800277","17038"	,"11"
"dan","ding","8360681000","29343"	,"2"
"dan","olsen","7202416144","31407"	,"5"
"dan","popa","42462180400","13954"	,"1"
"daniel","anderson","7410020534","14808"	,"2"
"daniel","brown","56975641800","28998"	,"2"
"daniel","cayan","7005265210","4629"	,"4"
"daniel","frisbie","7003751394","31574"	,"1"
"daniel","gavin","7003406370","10467"	,"11"
"daniel","herschlag","7005822572","8486"	,"3"
"daniel","litynski","6603620199","9975"	,"3"
"daniel","marrone","55757778726","13832"	,"2"
"daniel","marrone","6602613149","13832"	,"5"
"daniel","welling","32668127800","12962"	,"23"
"daniel","wilson","7410088221","13891"	,"6"
"david","bennett","55246366200","7662"	,"1"
"david","bourell","7006954544","37922"	,"1"
"david","brown","7402606541","25549"	,"4"
"david","brown","7407097007","8153"	,"1"
"david","corr","7005944776","1974"	,"3"
"david","denlinger","7006747773","28554"	,"1"
"david","du","7005626886","3211"	,"3"
"david","du","7202610862","34138"	,"1"
"david","dumas","56257564500","1747"	,"2"
"david","eddington","7003923319","18776"	,"2"
"david","eppstein","7004324907","14939"	,"7"
"david","foster","36093901200","34980"	,"1"
"david","foster","7403219324","10539"	,"12"
"david","goode","55232492200","9926"	,"2"
"david","hill","56317319300","6304"	,"1"
"david","hoffman","34770709900","11973"	,"1"
"david","hsu","35324356100","2585"	,"1"
"david","jacobs","7402586179","21279"	,"1"
"david","kaplan","7402904704","41928"	,"1"
"david","kerr","56459521700","12531"	,"1"
"david","kristovich","7003639256","19735"	,"11"
"david","levin","23009266100","23800"	,"1"
"david","levine","26642902900","14668"	,"1"
"david","lockner","7006925047","27038"	,"4"
"david","maier","24832443000","7364"	,"1"
"david","maier","56797683800","5844"	,"2"
"david","miller","55543208300","1106"	,"1"
"david","miller","55543208300","39028"	,"1"
"david","mozurkewich","7003488726","22757"	,"3"
"david","neelin","34771621300","6557"	,"3"
"david","nelson","14007471200","35971"	,"1"
"david","nelson","35498492100","21960"	,"2"
"david","nicol","7102659271","17476"	,"2"
"david","noone","6603581315","3626"	,"4"
"david","noone","6603581315","4638"	,"6"
"david","prevatt","6507656627","11208"	,"3"
"david","rand","7202208382","2432"	,"4"
"david","roberts","7404254503","23819"	,"1"
"david","rovnyak","6602870854","25928"	,"2"
"david","rust","55663119600","5801"	,"18"
"david","schmidt","25926773200","7604"	,"2"
"david","schwartz","7403104788","7988"	,"1"
"david","simpson","7402412551","7548"	,"1"
"david","smith","35265144200","7154"	,"8"
"david","smith","55574213689","24406"	,"1"
"david","smith","55605774460","24406"	,"1"
"david","valentine","34972181800","11757"	,"5"
"david","walba","7007112363","8852"	,"2"
"david","williams","7406552453","16167"	,"2"
"david","yates","7103213245","17626"	,"3"
"dawn","biehler","28767447500","14288"	,"3"
"deb","newberry","55338707100","6626"	,"1"
"deborah","estrin","56846958700","2275"	,"1"
"deborah","gordon","55694553300","42100"	,"1"
"deborah","silver","7202150895","16644"	,"2"
"debra","javeline","21834300000","3888"	,"2"
"debra","peters","55565505300","16850"	,"6"
"deidre","sullivan","7402474259","5770"	,"4"
"denise","mcmanus","7102763761","11604"	,"1"
"dennis","hansell","7102078607","36089"	,"15"
"dennis","mathews","7006815534","3516"	,"2"
"dereje","agonafer","7004461995","16903"	,"3"
"derek","patton","7101646712","35114"	,"1"
"di","liu","7409284164","527"	,"1"
"di","ma","8612430400","33708"	,"2"
"diane","gifford-gonzalez","6602740917","17319"	,"3"
"dieter","van,melkebeek","6603621897","33043"	,"13"
"dimiter","petsev","35249302600","502"	,"1"
"dmitri","nusinow","8963408400","39349"	,"1"
"dmitry","ostrovsky","35868901600","8542"	,"1"
"dolores","zage","6508147413","40527"	,"1"
"don","goelman","7801379794","35399"	,"5"
"don","johnson","7406823140","8735"	,"4"
"don","liu","25422169400","23768"	,"1"
"don","liu","36065050200","7744"	,"2"
"don","liu","55880005800","7744"	,"2"
"donald","anderson","7410018378","23321"	,"1"
"donald","french","36957581200","4303"	,"3"
"donald","terndrup","7003336420","32339"	,"6"
"dong","ha","22984586100","5928"	,"1"
"dong","ha","34881288500","5928"	,"1"
"dong","ha","35793000400","5928"	,"2"
"dong","ha","56165147800","5928"	,"1"
"dong","qian","7103115420","8335"	,"1"
"dong","wang","55566602700","8470"	,"3"
"dong","wang","55978208400","8470"	,"1"
"dong","wang","56021308600","17057"	,"1"
"dong","wang","56189257700","8470"	,"1"
"dong","xu","8359407500","3711"	,"1"
"donghai","wang","55713290600","2641"	,"2"
"donna","blackman","7005041652","10158"	,"9"
"donna","shillington","23028898800","10354"	,"3"
"donna","shillington","23028898800","3930"	,"11"
"dork","sahagian","7003267929","8157"	,"4"
"douglas","blough","7005189809","23844"	,"3"
"douglas","clark","7404788774","36911"	,"2"
"douglas","clark","7404789698","36911"	,"2"
"douglas","edwards","7404087023","33426"	,"2"
"douglas","gies","17136955800","32335"	,"18"
"douglas","kelt","7004195532","39337"	,"3"
"douglas","kennett","35571732400","38200"	,"4"
"douglas","keszler","7004060670","25925"	,"3"
"douglas","miller","55344888900","28925"	,"1"
"douglas","soltis","57190294340","10518"	,"3"
"douglas","soltis","7005723809","13936"	,"5"
"douglas","worsnop","7006593624","22254"	,"3"
"duane","mckenna","7103178708","28754"	,"7"
"dudley","chelton","7004590414","3933"	,"8"
"dustin","griesemer","55601158200","30398"	,"1"
"dylan","mcnamara","20735126400","4857"	,"3"
"earl","towne","6602819124","3441"	,"12"
"edgar","gabriel","23396769900","10776"	,"5"
"edgar","meyhofer","6601998370","2634"	,"1"
"edmund","brodie","7007012434","28712"	,"7"
"eduardo","fradkin","35498145900","31810"	,"13"
"edward","boyle","24368009800","39732"	,"19"
"edward","burton","7102684488","16893"	,"1"
"edward","conrad","16554616400","30386"	,"1"
"edward","cook","56599841400","41012"	,"5"
"edward","evans","7401611786","2463"	,"1"
"edward","gibson","7103129379","38433"	,"3"
"edward","hall","24070685500","39377"	,"1"
"edward","lazowska","24802384500","9747"	,"10"
"edward","solomon","36051242000","31032"	,"2"
"eileen","lacey","7006842660","22553"	,"6"
"eitan","tadmor","7006338741","2960"	,"3"
"ekaterina","pletneva","6602003781","1847"	,"3"
"elaheh","bozorgzadeh","35596501200","606"	,"2"
"elisabeth","moyer","7006539346","1674"	,"3"
"elizabeth","barnes","36106951600","33796"	,"5"
"elizabeth","blanton","36023581600","23135"	,"1"
"elizabeth","dickey","26643046300","9396"	,"5"
"elizabeth","dinsdale","6602355182","24529"	,"2"
"elizabeth","haswell","6602326841","18782"	,"1"
"elizabeth","simon","35609626800","9837"	,"2"
"elizabeth","stearns","20436611500","2600"	,"3"
"elizabeth","stone","7202379633","28021"	,"1"
"elke","rundensteiner","7005195084","21759"	,"3"
"ellen","damschen","6508365010","1554"	,"17"
"ellen","rathje","57189017102","20993"	,"2"
"ellen","rathje","57189017102","33225"	,"2"
"ellen","zegura","7004144540","12475"	,"5"
"emma","rasbury","6602647243","9083"	,"2"
"emmanuel","farhi","23492216000","5671"	,"6"
"emmanuel","saez","7004587587","11790"	,"2"
"enrique","del,barco","6603407821","30708"	,"2"
"enrique","lavernia","35242850300","14132"	,"3"
"eric","banilower","16066627100","37458"	,"1"
"eric","cole","7202331600","17785"	,"1"
"eric","davidson","56852901900","19585"	,"8"
"eric","frew","56040504400","12349"	,"2"
"eric","garfunkel","9943484200","35557"	,"2"
"eric","gawiser","6601922841","5191"	,"1"
"eric","hudson","7101662467","16052"	,"1"
"eric","lind","55636318911","19426"	,"38"
"eric","powell","56462199100","20816"	,"1"
"eric","sharpe","7003945163","33347"	,"7"
"erik","leitch","35173035000","9927"	,"3"
"erik","vollbrecht","6603284996","17067"	,"9"
"ernesto","freire","7103410172","11975"	,"1"
"ethan","miller","7404492020","3356"	,"3"
"eugene","takle","7003279969","6275"	,"2"
